robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,1.0,0.0,0.0,18.24,4.0,90.0,90.0,0,0,0.0,1,0,6.0,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0
0.22,0.113,1.0,0.0,0.0,22.51,2.0,90.0,90.0,0,0,0.0,1,0,4.0,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
0.22,0.113,0.5,0.5,0.0,45.05,4.0,70.0,70.0,1,45,3.0,0,0,0.0,0,180.0,0.023,2450.0,2.3219,5,0.4255,0.6,0.0155,0.0,0.3,0.38,9,0,1,0,0
0.22,0.113,0.6,0.4,0.0,62.93,5.0,70.0,70.0,1,45,3.0,0,0,0.0,0,308.5714,0.0207,2450.0,2.3219,5,0.4988,0.6,0.0089,0.0,0.3,0.51,9,0,1,0,0
0.22,0.113,1.0,0.0,0.0,5.17,5.0,90.0,70.0,0,0,0.0,1,30,3.0,0,216.0,0.0336,3150.0,2.3219,23,0.2537,0.6,0.013,0.0,0.0,0.0,0,0,1,0,0
0.22,0.113,1.0,0.0,0.0,37.63,3.0,90.0,70.0,0,0,0.0,1,30,3.0,0,265.2632,0.0336,3150.0,2.3219,25,0.2511,0.5,0.012,0.0,0.3,0.7,9,0,1,0,0
0.22,0.113,1.0,0.0,0.0,172.04,2.0,70.0,70.0,0,0,0.0,1,30,2.0,0,58.3784,0.0289,2450.0,2.3219,31,0.1851,0.6,0.0135,0.0,0.3,0.7,6,0,1,0,0
0.22,0.113,1.0,0.0,0.0,57.89,5.0,50.0,90.0,0,0,0.0,1,30,2.0,0,123.4286,0.0266,2250.0,2.3219,23,0.2156,0.6,0.0205,0.0,0.3,0.37,9,0,1,0,0
0.22,0.113,1.0,0.0,0.0,26.59,2.0,70.0,90.0,0,0,0.0,1,40,2.0,0,42.3529,0.0359,3150.0,2.3219,43,0.1927,0.5,0.0176,0.0,0.3,0.41,9,0,1,0,0
0.22,0.113,0.0,1.0,0.0,237.78,12.0,50.0,90.0,1,30,3.0,0,0,0.0,0,72.0,0.0168,2250.0,2.3219,10,0.5729,0.4,0.011,0.0,0.3,0.42,6,0,0,1,0
