robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
0.22,0.113,0.07,0.93,0,590.79,4510000000000,90,90,1,45,3,0,0,0,0,254.1176,0.0289,4050,2.3219,7,0.5548,0.4,0.0137,0,0.61,0.35,8,0,0,1,0,0.093912508
2,0.267,0.37,0.5,0.13,212.23,3340000000000,70,70,1,30,5,0,0,0,0,360,0.0218,2450,2.3219,1,0.4241,0,0,1,0.56,0.49,9,0,0,1,0,0.472114986
0.22,0.113,0.61,0.39,0,22.48,172000000000,50,50,1,15,3,0,0,0,0,180,0.0098,1250,2.3219,3,0.5668,1,0.0054,0,0.72,0.62,4,0,0,1,0,0.873438568
0.22,0.113,0.2,0.8,0,343.26,2517880000000,90,90,1,45,5,0,0,0,0,154.2857,0.034,4050,2.3219,7,0.4179,0.4,0.0097,0,0.57,0.56,8,0,0,1,0,0.044830893
0.22,0.113,0.3,0.7,0,147.43,1475420000000,90,90,1,70,4,0,0,0,0,240,0.0382,4050,2.3219,12,0.3425,0.3,0.0107,0,0.63,0.64,8,0,0,1,0,0.972672239
0.22,0.113,0.57,0.43,0,123.44,1100000000000,70,70,1,70,4,0,0,0,0,120,0.025,2450,2.3219,3,0.3365,0.7,0.0044,0,0,0,0,0,0,1,0,0.360642736
2,0.267,0.47,0.2,0.33,108.59,3335400000000,50,90,1,70,3,0,0,0,0,240,0.0216,2250,2.3219,9,0.4113,0.7,0.0129,0,0,0,0,0,0,1,0,0.081233548
0.22,0.113,0.5,0.5,0,88.71,881000000000,90,90,0,0,0,1,20,2,0,213.5593,0.0455,4050,2.3219,31,0.1053,0.4,0.0128,0,0.47,0.62,12,0,0,1,0,0.116298892
0.22,0.113,0.43,0.57,0,111.2,1100000000000,70,70,1,30,5,0,0,0,0,180,0.0203,2450,2.3219,6,0.4743,0.3,0.0074,0,0,0,0,0,0,1,0,0.015750346
0.22,0.113,0.28,0.72,0,211.44,1970000000000,70,70,0,0,0,1,40,2,0,144,0.0284,2450,2.3219,39,0.2392,0.3,0.0148,0,0.67,0.5,6,0,0,1,0,0.445537675
