robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.64,0.36,0,126.51,1250000000000,70,70,1,45,5,0,0,0,0,180,0.0261,2450,2.3219,2,0.2984,0,0,1,0.53,0.52,9,0,1,0,0
0.22,0.113,0.9,0.1,0,84.73,959000000000,70,70,1,45,5,0,0,0,0,240,0.0243,2450,2.3219,3,0.312,0.7,0.0029,0,0.42,0.46,6,0,1,0,0
2,0.267,0.31,0.69,0,110.7,1130000000000,70,70,1,30,3,0,0,0,0,360,0.0197,2450,2.3219,2,0.52,1,0.0109,0,0.6,0.65,9,0,1,0,0
0.22,0.113,0.5,0.5,0,158,1880000000000,90,90,0,0,0,1,0,2,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0.59,0.71,12,0,1,0,0
0.22,0.113,0.67,0.33,0,105.28,1135730000000,90,90,1,30,4,0,0,0,0,120,0.0261,4050,2.3219,4,0.5853,0.5,0.003,0,0.54,0.46,12,0,1,0,0
0.22,0.113,0.87,0.13,0,66.68,728000000000,50,50,1,70,4,0,0,0,0,180,0.0156,1250,2.3219,2,0.2288,0,0,1,0.58,0.67,4,0,1,0,0
0.22,0.113,0.43,0.57,0,85.57,1210000000000,90,90,1,15,3,0,0,0,0,180,0.0199,4050,2.3219,6,0.7168,0.7,0.0114,0,0.67,0.41,12,0,1,0,0
0.22,0.113,0.4,0.6,0,154.76,2160000000000,90,90,1,15,5,0,0,0,0,360,0.0247,4050,2.3219,2,0.6086,1,0.0066,0,0.58,0.66,12,0,1,0,0
0.22,0.113,0.64,0.36,0,24.53,545000000000,70,70,1,15,3,0,0,0,0,180,0.0137,2450,2.3219,2,0.6927,0,0,1,0.66,0.46,3,0,1,0,0
0.22,0.113,1,0,0,19.33,296000000000,70,70,1,15,3,0,0,0,0,360,0.0145,2450,2.3219,1,0.6694,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.8,0.13,0.07,208.73,2210000000000,70,70,0,0,0,1,10,6,0,216,0.0242,2450,2.3219,7,0.3263,0.4,0.0089,0,0.49,0.5,6,0,1,0,0
2,0.267,0.63,0.37,0,157.35,1224270000000,70,70,1,45,3,0,0,0,0,308.5714,0.0194,2450,2.3219,3,0.5261,0.7,0.0075,0,0.46,0.69,3,0,1,0,0
0.22,0.113,0.86,0.14,0,23.19,415000000000,50,50,1,30,3,0,0,0,0,360,0.0118,1250,2.3219,1,0.4708,0,0,1,0.87,0.73,2,0,1,0,0
0.22,0.113,0.77,0.23,0,90.4,1090000000000,70,70,1,70,4,0,0,0,0,240,0.0261,2450,2.3219,6,0.3163,0.5,0.0102,0,0.62,0.54,9,0,1,0,0
0.22,0.113,0.83,0.17,0,54.18,705000000000,50,50,1,15,4,0,0,0,0,180,0.0101,1250,2.3219,2,0.5248,1,0.0002,0,0.49,0.47,6,0,1,0,0
2,0.267,0.73,0.27,0,88,742853000000,50,50,1,45,3,0,0,0,0,288,0.0139,1250,2.3219,4,0.364,0.8,0.007,0,0.56,0.49,4,0,1,0,0
0.22,0.113,0.6,0.4,0,106.09,1320000000000,90,90,1,30,5,0,0,0,0,90,0.0303,4050,2.3219,4,0.4986,1,0.0072,0,0.42,0.62,12,0,1,0,0
2,0.267,0.37,0.63,0,212.34,1890000000000,90,90,1,15,4,0,0,0,0,360,0.0197,4050,2.3219,2,0.7046,1,0.0028,0,0.61,0.62,12,0,1,0,0
0.22,0.113,0.67,0.33,0,128.33,1370000000000,90,90,1,45,3,0,0,0,0,280,0.0329,4050,2.3219,15,0.4743,0.6,0.0113,0,0.66,0.58,8,0,1,0,0
1.1,0.625,0.27,0.73,0,89.14,2198750000000,90,90,1,45,4,0,0,0,0,120,0.0279,4050,2.3219,4,0.5499,0.8,0.0046,0,0.62,0.55,12,0,1,0,0
1.1,0.625,0.27,0.63,0.1,154.31,3910000000000,90,90,1,45,5,0,0,0,0,108,0.0353,4050,2.3219,11,0.3837,0.5,0.009,0,0,0,0,0,1,0,0
0.22,0.113,0.74,0.26,0,50.88,756000000000,70,70,1,30,3,0,0,0,0,180,0.0174,2450,2.3219,2,0.5829,1,0.0003,0,0.61,0.79,3,0,1,0,0
0.22,0.113,0.67,0.33,0,32.33,640000000000,50,50,1,45,3,0,0,0,0,72,0.0145,1250,2.3219,5,0.3528,0.4,0.005,0,0.49,0.77,4,0,1,0,0
0.22,0.113,0.55,0.45,0,131.01,1620000000000,90,90,1,45,5,0,0,0,0,249.2308,0.0344,4050,2.3219,8,0.4135,0.8,0.0085,0,0.63,0.5,12,0,1,0,0
1.1,0.625,0.23,0.77,0,131.55,3230000000000,90,90,1,30,5,0,0,0,0,270,0.0321,4050,2.3219,3,0.4738,0.7,0.0072,0,0.56,0.63,8,0,1,0,0
2,0.267,0.33,0.67,0,315.24,3520000000000,90,90,1,45,4,0,0,0,0,288,0.0326,4050,2.3219,12,0.4715,0.7,0.0109,0,0.57,0.71,8,0,1,0,0
