robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.7,0.27,0.03,130.02,2380000000000,70,70,1,30,5,0,0,0,0,360,0.0223,2450,2.3219,2,0.4143,1,0.0172,0,0,0,0,1,0,0,0
0.22,0.113,0.63,0.37,0,50.83,1090000000000,50,50,1,45,5,0,0,0,0,360,0.0132,1250,2.3219,1,0.3304,0,0,1,0.51,0.46,6,1,0,0,0
0.22,0.113,0.17,0.8,0.03,179.54,4640000000000,90,90,1,30,3,0,0,0,0,360,0.0273,4050,2.3219,2,0.5826,1,0.0076,0,0.39,0.52,4,1,0,0,0
0.22,0.113,0.43,0.57,0,123.44,2910000000000,90,90,1,70,4,0,0,0,0,144,0.0367,4050,2.3219,11,0.3756,0.5,0.0085,0,0.27,0.57,4,1,0,0,0
0.22,0.113,0.1,0.73,0.17,59.9,5320000000000,70,70,1,45,4,0,0,0,0,303.1579,0.0241,2450,2.3219,7,0.3631,0.4,0.0122,0,0,0,0,1,0,0,0
0.22,0.113,0.1,0.53,0.37,62.65,5440000000000,70,70,0,0,0,1,40,4,0,327.2727,0.0212,2450,2.3219,9,0.4735,0.8,0.0143,0,0,0,0,1,0,0,0
0.22,0.113,0.1,0.67,0.23,49.25,5110000000000,70,70,1,70,3,0,0,0,0,254.1176,0.0236,2450,2.3219,10,0.3849,0.4,0.0116,0,0,0,0,1,0,0,0
2,0.267,0.3,0.7,0,63.76,2346740000000,90,50,1,15,4,0,0,0,0,216,0.0159,2250,2.3219,4,0.5902,1,0.0066,0,0.57,0.53,9,1,0,0,0
0.22,0.113,0.57,0.43,0,115.82,2470000000000,90,90,1,70,4,0,0,0,0,270,0.0341,4050,2.3219,3,0.4168,1,0.0091,0,0.5,0.49,8,1,0,0,0
0.22,0.113,0.86,0.1,0.03,62.46,1300000000000,50,50,1,70,3,0,0,0,0,180,0.0141,1250,2.3219,3,0.3236,1,0.0076,0,0,0,0,1,0,0,0
0.22,0.113,0.93,0.03,0.03,44.48,1140000000000,50,50,1,30,4,0,0,0,0,360,0.0134,1250,2.3219,1,0.3452,0,0,1,0,0,0,1,0,0,0
0.22,0.113,0.2,0.73,0.07,130,3580000000000,90,90,1,70,3,0,0,0,0,196.3636,0.0336,4050,2.3219,10,0.4532,0.5,0.0114,0,0.64,0.54,12,1,0,0,0
0.22,0.113,0.03,0.93,0.03,218.25,5780000000000,70,70,0,0,0,1,0,6,0,180,0.0295,2450,2.3219,2,0.0563,0,0,1,0.61,0.54,9,1,0,0,0
0.22,0.113,0.45,0.55,0,91.67,1880000000000,70,70,1,15,4,0,0,0,0,180,0.017,2450,2.3219,2,0.589,0,0,1,0.63,0.53,3,1,0,0,0
0.22,0.113,0.4,0.6,0,78.43,2780000000000,70,70,1,30,3,0,0,0,0,180,0.0185,2450,2.3219,2,0.5647,1,0.0041,0,0.61,0.4,9,1,0,0,0
0.22,0.113,0.6,0.4,0,38.11,1360000000000,50,50,1,45,3,0,0,0,0,180,0.0127,1250,2.3219,2,0.412,0,0,1,0.58,0.52,4,1,0,0,0
0.22,0.113,0.1,0.8,0.1,83.11,5450000000000,50,50,1,15,4,0,0,0,0,90,0.0132,1250,2.3219,4,0.4152,0.5,0.0062,0,0.55,0.57,2,1,0,0,0
